Target URL,Source URL,Anchor Text,Source Crawl Date,Source First Found Date,FlagNoFollow,FlagImageLink,FlagRedirect,FlagFrame,FlagOldCrawl,FlagAltText,FlagMention,SourceCitationFlow,SourceTrustFlow,TargetCitationFlow,TargetTrustFlow,SourceTopicalTrustFlow_Topic_0,SourceTopicalTrustFlow_Value_0,RefDomainTopicalTrustFlow_Topic_0,RefDomainTopicalTrustFlow_Value_0
http://hullforest.com/,https://www.bobvila.com/slideshow/11-tried-and-true-ways-to-care-for-hardwood-floors-47149,hullforest.com,2021-07-08,2020-11-17,,,,,,,,34,25,23,15,Home/Home Improvement,25,Home/Home Improvement,59
http://hullforest.com/,https://www.bobvila.com/slideshow/11-tried-and-true-ways-to-care-for-hardwood-floors-47149?bv=inset,hullforest.com,2021-06-10,2020-12-19,,,,,,,,0,0,23,15,,,Home/Home Improvement,59
http://hullforest.com/,https://www.bobvila.com/slideshow/11-tried-and-true-ways-to-care-for-hardwood-floors-47149?bv=relart,hullforest.com,2021-06-10,2020-12-19,,,,,,,,0,0,23,15,,,Home/Home Improvement,59
http://hullforest.com/,https://www.bobvila.com/slideshow/11-tried-and-true-ways-to-care-for-hardwood-floors-47149?bv=relss,hullforest.com,2021-06-10,2020-12-19,,,,,,,,0,0,23,15,,,Home/Home Improvement,59
http://hullforest.com/,https://www.bobvila.com/slideshow/11-tried-and-true-ways-to-care-for-hardwood-floors-47149?bv=sm,hullforest.com,2021-06-10,2020-12-19,,,,,,,,0,0,23,15,,,Home/Home Improvement,59
http://hullforest.com/,https://www.bobvila.com/slideshow/11-tried-and-true-ways-to-care-for-hardwood-floors-47149?bv=ymal,hullforest.com,2021-06-10,2020-12-19,,,,,,,,0,0,23,15,,,Home/Home Improvement,59
http://hullforest.com/,https://www.macraesbluebook.com/search/company.cfm?company=507830,hullforest.com,2021-07-07,2020-12-20,+,,,,,,,0,0,23,15,,,Business/Industrial Goods and Services,51
http://hullforest.com/,https://businessfinder.masslive.com/hull-forest-products-inc-huntington-ma.html,hullforest.com,2021-05-15,2021-02-15,,,,,,,,6,9,23,15,Recreation/Travel,9,Recreation/Travel,52
http://hullforest.com/,https://www.owler.com/company/hullforest,hullforest.com,2021-06-26,2021-06-26,+,,,,,,,7,1,23,15,Recreation/Aviation,1,Computers/Security,33
http://hullforest.com/,https://sabinesnewhouse.com/5-important-details-to-build-a-healthy-quiet-house/,hull forest products,2021-04-03,2020-12-26,,,,,,,,7,6,23,15,Business/Construction and Maintenance,6,Business/Construction and Maintenance,13
http://hullforest.com/,https://similarzone.com/sites-alternative-to-fantastic-floor.com,hullforest.com,2021-04-23,2021-01-24,+,,,,,,,0,0,23,15,,,,
http://hullforest.com/,https://similarzone.com/sites-alternative-to-naturalcork.com,hullforest.com,2021-05-09,2020-11-30,+,,,,,,,0,0,23,15,,,,
http://hullforest.com/,https://similarzone.com/sites-alternative-to-rare-earth-hardwoods.com,hullforest.com,2021-07-05,2021-01-17,+,,,,,,,0,0,23,15,,,,
http://hullforest.com/,https://websitedetection.com/web-site-list-55,hullforest.com,2021-06-24,2020-11-24,+,,,,,,,0,0,23,15,,,Business,9
