Target URL,Blended Score
http://hullforest.com/,3557251512.0
http://hullforest.com/blog/author/admin,2.5
http://hullforest.com/blog/author/admin/page/2,2.5
http://hullforest.com/blog/category/company-news,2.5
http://hullforest.com/blog/category/ct-hardwood-wide-plank-floors,2.5
http://hullforest.com/blog/category/forest-conservation,2.5
http://hullforest.com/blog/category/hull_forest,2.5
http://hullforest.com/blog/five-sustainable-forestry-events-fall-2017,2.5
http://hullforest.com/blog/tag/southern-new-england-heritage-forest-partnership,2.5
http://hullforest.com/blog/tag/the-last-green-valley,2.5
http://hullforest.com/blog/woodland-ambassador-tour-april-26-2014,2.5
http://hullforest.com/blog/wp-content/uploads/2011/06/SelectRedOak-sample.jpg,1600.0
http://hullforest.com/blog/wp-content/uploads/2011/06/red_oak_quarter_and_rift_sawn.jpg,62.5
http://hullforest.com/blog/wp-content/uploads/2011/06/white-oak-select-a.jpg,177957000.0
http://hullforest.com/blog/wp-content/uploads/2012/01/myers_pond_walktober_web1.jpg,0.1
http://hullforest.com/blog/wp-content/uploads/2012/01/red-oak-quartersawn-northampton-357.jpg,122185.8
http://hullforest.com/blog/wp-content/uploads/2012/01/wide-pine-floor-raw-410.jpg,0.8
http://hullforest.com/blog/wp-content/uploads/2012/07/cherry-sap-heart.jpg,122588294.39999999
http://hullforest.com/blog/wp-content/uploads/2012/08/HullMolder-1.jpg,0.1
http://hullforest.com/blog/wp-content/uploads/2012/08/white-oak-select-a-small.jpg,62.5
http://hullforest.com/blog/wp-content/uploads/2012/09/February_w.jpg,1.9
http://hullforest.com/blog/wp-content/uploads/2013/01/31-573-D-RT72-dpi.jpg,75605.90000000001
http://hullforest.com/blog/wp-content/uploads/2013/01/circle-sawn-skip-planed-pine-fb.jpg,8.1
http://hullforest.com/blog/wp-content/uploads/2013/01/qs-white-oak-select-219-81.jpg,312770.4
http://hullforest.com/blog/wp-content/uploads/2013/01/qs-white-oak-select-219.jpg,9604.0
http://hullforest.com/blog/wp-content/uploads/2013/01/tiger-maple-trim-521.jpg,129.6
http://hullforest.com/blog/wp-content/uploads/2013/02/31-573-A-RT72-dpi.jpg,1.6
http://hullforest.com/blog/wp-content/uploads/2013/02/32-580-A-RT2cropped-956x1024.jpg,5529600.0
http://hullforest.com/blog/wp-content/uploads/2013/02/33-587-RT-11.jpg,1.6
http://hullforest.com/blog/wp-content/uploads/2013/02/birdseye-maple-stairs-web.jpg,1.6
http://hullforest.com/blog/wp-content/uploads/2013/02/natural-birch-floor-stairs-hullforest.com-web.jpg,24.3
http://hullforest.com/blog/wp-content/uploads/2013/02/pale-white-oak-floor-modern-kitchen-sleek-hull-2111.jpg,665500000.0
http://hullforest.com/blog/wp-content/uploads/2013/02/plainsawn-white-oak-grain-closeup.jpg,259.2
http://hullforest.com/blog/wp-content/uploads/2013/02/qs-white-oak-select-219-10.jpg,18952.5
